LAT;;;;;40.7143;40.7143;40.7143;40.7143
LON;;;;;-74.0060;-74.0060;-74.0060;-74.0060
ASL;;;;;10.0000;10.0000;10.0000;10.0000
CITY;;;;;New York;New York;New York;New York
DOMAIN;;;;;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation;Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;-4;-4;-4;-4

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2018;10;01;17;00;26.29;0.00;18.45;197.02
2018;10;01;18;00;25.61;0.00;16.77;194.93
2018;10;01;19;00;24.31;0.00;13.85;188.97
2018;10;01;20;00;23.33;0.00;13.08;187.91
2018;10;01;21;00;22.50;0.00;12.78;189.73
2018;10;01;22;00;21.90;0.00;13.36;194.04
2018;10;01;23;00;21.53;0.00;14.12;199.36
2018;10;02;00;00;21.14;0.00;14.81;205.94
2018;10;02;01;00;20.69;0.00;14.02;209.20
2018;10;02;02;00;20.34;0.00;13.09;211.50
2018;10;02;03;00;20.03;0.00;11.98;212.74
2018;10;02;04;00;19.74;0.00;11.18;213.18
2018;10;02;05;00;19.42;0.00;10.69;212.62
2018;10;02;06;00;19.13;0.00;10.19;212.01
2018;10;02;07;00;18.83;0.00;9.69;211.33
2018;10;02;08;00;19.50;0.00;4.80;167.01
2018;10;02;09;00;21.00;0.00;7.64;188.13
2018;10;02;10;00;22.74;0.00;11.09;193.13
2018;10;02;11;00;24.61;0.00;15.38;196.31
2018;10;02;12;00;26.05;0.00;19.24;197.42
2018;10;02;13;00;26.86;0.00;22.21;199.90
2018;10;02;14;00;26.99;0.00;23.13;200.97
2018;10;02;15;00;26.89;0.00;21.87;200.22
2018;10;02;16;00;26.20;0.20;20.66;202.54
2018;10;02;17;00;25.78;0.40;19.34;204.18
2018;10;02;18;00;25.09;0.20;18.04;208.61
2018;10;02;19;00;24.10;0.20;16.42;206.00
2018;10;02;20;00;23.67;0.00;15.38;200.56
2018;10;02;21;00;23.31;0.60;14.92;199.75
2018;10;02;22;00;23.16;1.60;14.97;207.18
2018;10;02;23;00;22.39;0.40;15.12;218.23
2018;10;03;00;00;22.09;0.10;14.06;219.81
2018;10;03;01;00;21.80;0.00;12.82;218.16
2018;10;03;02;00;21.28;0.00;13.04;230.60
2018;10;03;03;00;20.84;0.00;12.41;240.46
2018;10;03;04;00;20.45;0.00;11.38;251.57
2018;10;03;05;00;20.06;0.00;10.54;262.15
2018;10;03;06;00;19.69;0.00;10.08;270.00
2018;10;03;07;00;19.31;0.00;10.18;278.13
2018;10;03;08;00;19.47;0.00;10.51;308.05
2018;10;03;09;00;20.71;0.00;12.77;319.57
2018;10;03;10;00;21.76;0.00;13.28;319.40
2018;10;03;11;00;22.79;0.00;13.83;321.34
2018;10;03;12;00;23.55;0.00;13.83;321.34
2018;10;03;13;00;24.19;0.00;13.25;317.20
2018;10;03;14;00;24.53;0.00;13.49;316.08
2018;10;03;15;00;24.69;0.00;12.77;319.57
2018;10;03;16;00;24.66;0.00;11.09;324.25
2018;10;03;17;00;24.33;0.00;9.39;327.53
2018;10;03;18;00;23.67;0.00;6.79;327.99
2018;10;03;19;00;22.83;0.00;4.07;315.00
2018;10;03;20;00;22.40;0.00;2.90;299.74
2018;10;03;21;00;21.68;0.00;2.16;270.00
2018;10;03;22;00;21.21;0.00;1.30;236.31
2018;10;03;23;00;20.79;0.00;1.94;201.80
2018;10;04;00;00;20.34;0.00;2.62;195.95
